Class,Role Stereotype,Design Smell,Cause of the Smell
com.eteks.sweethome3d.model.HomePrint$PaperOrientation,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.model.HomeRecorder$Type,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.model.HomeRecorder$Type,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.model.HomeTexture,Information Holder,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: HomeTexture; CatalogTexture in method HomeTexture
com.eteks.sweethome3d.model.HomeTexture,Information Holder,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: HomeTexture; CatalogTexture in method HomeTexture
com.eteks.sweethome3d.model.IllegalHomonymException,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.model.InterruptedRecorderException,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.model.InterruptedRecorderException,Service Provider,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): RecorderException
com.eteks.sweethome3d.model.Label,Information Holder,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 30 public methods
com.eteks.sweethome3d.model.Label$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.model.Label$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.model.LengthUnit,Coordinator,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: formatLocale; name; lengthFormatWithUnit; lengthFormat; areaFormatWithUnit; formatLocale; name; lengthFormatWithUnit; lengthFormat; areaFormatWithUnit; formatLocale; name; lengthFormatWithUnit; lengthFormat; areaFormatWithUnit; formatLocale; name; lengthFormat; areaFormatWithUnit; formatLocale; name; lengthFormat; lengthFormatWithUnit; areaFormatWithUnit; inchDecimalsFormat; inchNumberFormat; unitMultiplier
com.eteks.sweethome3d.model.LengthUnit$InchDecimalsFormat,#N/A,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.model.LengthUnit$MeterFamilyFormat,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.model.LengthUnit$SquareMeterAreaFormatWithUnit,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.model.LengthUnit$SquareFootAreaFormatWithUnit,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.model.Level,Information Holder,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
com.eteks.sweethome3d.model.Level$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.model.Level$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.model.Light,Information Holder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): PieceOfFurniture
com.eteks.sweethome3d.model.NotEnoughSpaceRecorderException,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.model.NotEnoughSpaceRecorderException,Information Holder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): RecorderException
com.eteks.sweethome3d.model.ObserverCamera$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.model.ObserverCamera$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.model.PieceOfFurniture,Information Holder,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 25 public methods
com.eteks.sweethome3d.model.Polyline,Coordinator,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 36 public methods
com.eteks.sweethome3d.model.Polyline$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.model.Polyline$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.model.Polyline$CapStyle,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.model.Polyline$JoinStyle,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.model.Polyline$ArrowStyle,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.model.Polyline$DashStyle,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.model.Room,Information Holder,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 61 public methods
com.eteks.sweethome3d.model.Room$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.model.Room$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.model.UserPreferences,Information Holder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: FURNITURE_LIBRARY_TYPE; TEXTURES_LIBRARY_TYPE; LANGUAGE_LIBRARY_TYPE; DEFAULT_SUPPORTED_LANGUAGES; DEFAULT_CLASS_LOADER; DEFAULT_TEXT_STYLE; DEFAULT_ROOM_TEXT_STYLE; propertyChangeSupport; classResourceBundles; resourceBundles; furnitureCatalog; texturesCatalog; patternsCatalog; defaultCountry; supportedLanguages; language; currency; unit; furnitureCatalogViewedInTree; aerialViewCenteredOnSelectionEnabled; observerCameraSelectedAtChange; navigationPanelVisible; magnetismEnabled; rulersVisible; gridVisible; defaultFontName; furnitureViewedFromTop; furnitureModelIconSize; roomFloorColoredOrTextured; wallPattern; newWallPattern; newWallThickness; newWallHeight; newWallBaseboardThickness; newWallBaseboardHeight; newFloorThickness; recentHomes; checkUpdatesEnabled; updatesMinimumDate; autoSaveDelayForRecovery; autoCompletionStrings; recentColors; recentTextures; homeExamples; resourceBundle; keyPrefix
com.eteks.sweethome3d.model.UserPreferences,Information Holder,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 84 public methods
com.eteks.sweethome3d.model.UserPreferences$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.model.UserPreferences$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.model.Wall,Information Holder,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 63 public methods
com.eteks.sweethome3d.model.Wall$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.model.Wall$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.plugin.HomePluginController,Coordinator,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): HomeController
com.eteks.sweethome3d.plugin.PluginAction$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.plugin.PluginManager,Structurer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PLUGIN_LIBRARY_TYPE; ID; NAME; CLASS; DESCRIPTION; VERSION; LICENSE; PROVIDER; APPLICATION_MINIMUM_VERSION; JAVA_MINIMUM_VERSION; APPLICATION_PLUGIN_FAMILY; DEFAULT_APPLICATION_PLUGIN_PROPERTIES_FILE; pluginFolders; pluginLibraries; homePlugins; location; name; id; description; version; license; provider; pluginClass; pluginClassLoader
com.eteks.sweethome3d.plugin.PluginManager$PluginLibrary,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.AutoCompleteTextField$AutoCompleteDocument,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.BackgroundImageWizardStepsPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because run is more interested in members of the type: BackgroundImageWizardController
com.eteks.sweethome3d.swing.BackgroundImageWizardStepsPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because run is more interested in members of the type: BackgroundImageWizardController
com.eteks.sweethome3d.swing.BackgroundImageWizardStepsPanel,Interfacer,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): View
com.eteks.sweethome3d.swing.BackgroundImageWizardStepsPanel,Interfacer,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: BackgroundImageWizardStepsPanel; ScaleImagePreviewComponent; OriginImagePreviewComponent
com.eteks.sweethome3d.swing.BackgroundImageWizardStepsPanel,Interfacer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
com.eteks.sweethome3d.swing.BackgroundImageWizardStepsPanel$ScaleImagePreviewComponent,Interfacer,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ScaledImageComponent
com.eteks.sweethome3d.swing.BackgroundImageWizardStepsPanel$ScaleImagePreviewComponent$ActionType,#N/A,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.swing.BackgroundImageWizardStepsPanel$OriginImagePreviewComponent,Interfacer,Feature Envy,The tool detected a instance of this smell because updateOrigin is more interested in members of the type: BackgroundImageWizardController
com.eteks.sweethome3d.swing.BackgroundImageWizardStepsPanel$OriginImagePreviewComponent,Interfacer,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ScaledImageComponent
com.eteks.sweethome3d.swing.BaseboardChoiceComponent,Interfacer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.BaseboardChoiceComponent,Interfacer,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): View
com.eteks.sweethome3d.swing.CatalogItemToolTip,Interfacer,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: CatalogPieceOfFurniture; CatalogTexture; URLContent in method setCatalogItem
com.eteks.sweethome3d.swing.CatalogItemToolTip,Interfacer,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: CatalogPieceOfFurniture; CatalogTexture; URLContent in method setCatalogItem
com.eteks.sweethome3d.swing.CatalogItemToolTip$DisplayedInformation,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.swing.ColorButton,Interfacer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: COLOR_PROPERTY; COLOR_DIALOG_TITLE_PROPERTY; colorChooser; colorChooserLocale; color; colorDialogTitle; preferences; grayColorChart; colorChart; colorComponent; rgbTextField; ralComboBox; creativeCommonsComboBox; initialColor; initialDelay; id; rgb; RAL_COLORS; CREATIVE_COMMONS_COLORS; MAX_COLORS; pipetteCursor
com.eteks.sweethome3d.swing.ColorButton$PalettesColorChooserPanel,Interfacer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 28 public methods
com.eteks.sweethome3d.swing.ColorButton$ColorCode,Information Holder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: id; rgb; RAL_COLORS; CREATIVE_COMMONS_COLORS
com.eteks.sweethome3d.swing.ColorButton$RecentColorsPanel,Interfacer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MAX_COLORS; pipetteCursor
com.eteks.sweethome3d.swing.CompassPanel,Interfacer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.CompassPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: CompassController
com.eteks.sweethome3d.swing.CompassPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: CompassController
com.eteks.sweethome3d.swing.CompassPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: CompassController
com.eteks.sweethome3d.swing.CompassPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: CompassController
com.eteks.sweethome3d.swing.CompassPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: CompassController
com.eteks.sweethome3d.swing.CompassPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: CompassController
com.eteks.sweethome3d.swing.CompassPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because itemStateChanged is more interested in members of the type: CompassController
com.eteks.sweethome3d.swing.CompassPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: CompassController
com.eteks.sweethome3d.swing.CompassPanel,Interfacer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods
com.eteks.sweethome3d.swing.FileContentManager,Structurer,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: getPresentationName
com.eteks.sweethome3d.swing.FileContentManager,Structurer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 48 public methods
com.eteks.sweethome3d.swing.FontNameComboBox,Interfacer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_SYSTEM_FONT_NAME; availableFontNames; preferences; unavailableFontName; rendererDefaultFont; rendererSpecialFont
com.eteks.sweethome3d.swing.FurnitureCatalogListPanel,Interfacer,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): View
com.eteks.sweethome3d.swing.FurnitureCatalogListPanel,Interfacer,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: FurnitureCatalogListPanel; PreferencesChangeListener
com.eteks.sweethome3d.swing.FurnitureCatalogListPanel,Interfacer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 33 public methods
com.eteks.sweethome3d.swing.FurnitureCatalogListPanel$CatalogCellRenderer,Interfacer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.FurnitureCatalogListPanel$FurnitureCatalogListModel$FurnitureCatalogListener,#N/A,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.FurnitureCatalogTransferHandler,Service Provider,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): VisualTransferHandler
com.eteks.sweethome3d.swing.FurnitureCatalogTree,Interfacer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.FurnitureCatalogTree,Interfacer,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): View
com.eteks.sweethome3d.swing.FurnitureCatalogTree$CatalogCellRenderer,Interfacer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.FurnitureCatalogTree$CatalogCellRenderer,Interfacer,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: FurnitureCategory; CatalogPieceOfFurniture in method getTreeCellRendererComponent
com.eteks.sweethome3d.swing.FurnitureCatalogTree$CatalogTreeModel,Structurer,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: FurnitureCatalog; FurnitureCategory in method getChildCount
com.eteks.sweethome3d.swing.FurnitureCatalogTree$CatalogTreeModel$CatalogFurnitureListener,#N/A,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.FurnitureTable,Interfacer,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: HomePieceOfFurniture; HomeFurnitureGroup in method updateTableSelectedFurniture
com.eteks.sweethome3d.swing.FurnitureTable,Interfacer,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: HomePieceOfFurniture; HomeFurnitureGroup in method updateTableSelectedFurniture
com.eteks.sweethome3d.swing.FurnitureTable,Interfacer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 32 public methods
com.eteks.sweethome3d.swing.FurnitureTable$UserPreferencesChangeListener,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.FurnitureTable$RunnableContext,#N/A,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: pageExists; exception"
com.eteks.sweethome3d.swing.FurnitureTable$FurnitureTableColumnModel,Information Holder,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 26 public methods
com.eteks.sweethome3d.swing.FurnitureTable$FurnitureTableColumnModel$LanguageChangeListener,#N/A,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.FurnitureTable$FurnitureTableColumnModel$SizeRenderer,#N/A,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.FurnitureTable$FurnitureTableColumnModel$PriceRenderer,#N/A,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.FurnitureTable$FurnitureTableColumnModel$BooleanRenderer,#N/A,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.FurnitureTable$TreeTableNameCellRenderer,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.FurnitureTable$TreeTableNameCellRenderer,Service Provider,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: HomePieceOfFurniture; HomeFurnitureGroup in method prepareTree
com.eteks.sweethome3d.swing.FurnitureTable$TreeTableNameCellRenderer,Service Provider,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: HomePieceOfFurniture; HomeFurnitureGroup in method prepareTree
com.eteks.sweethome3d.swing.FurnitureTable$FurnitureTreeTableModel,Structurer,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: HomePieceOfFurniture; HomeFurnitureGroup in method isLeaf
com.eteks.sweethome3d.swing.FurnitureTable$FurnitureTreeTableModel,Structurer,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: HomePieceOfFurniture; HomeFurnitureGroup in method isLeaf
com.eteks.sweethome3d.swing.FurnitureTable$FurnitureTreeTableModel,Structurer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
com.eteks.sweethome3d.swing.HelpPane,Interfacer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
com.eteks.sweethome3d.swing.HelpPane$ActionType,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.swing.HelpPane$ActionType,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.HelpPane$LanguageChangeListener,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.Home3DAttributesPanel,Interfacer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.HomeComponent3D,Interfacer,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: Wall3D; HomePieceOfFurniture3D in method createLights
com.eteks.sweethome3d.swing.HomeComponent3D,Interfacer,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): View
com.eteks.sweethome3d.swing.HomeComponent3D,Interfacer,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: Wall3D; HomePieceOfFurniture3D in method createLights
com.eteks.sweethome3d.swing.HomeComponent3D,Interfacer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 63 public methods
com.eteks.sweethome3d.swing.HomeComponent3D$ActionType,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.swing.HomeComponent3D$ActionType,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.HomeComponent3D$JCanvas3DWithNavigationPanel,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.HomeComponent3D$NavigationPanelChangeListener,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.HomeComponent3D$NavigationButton,Interfacer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.HomeComponent3D$MoveCameraAction,#N/A,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.HomeComponent3D$MoveCameraSidewaysAction,#N/A,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.HomeComponent3D$ElevateCameraAction,#N/A,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.HomeComponent3D$RotateCameraYawAction,#N/A,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.HomeComponent3D$RotateCameraPitchAction,#N/A,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.HomeFurniturePanel,Interfacer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.HomeFurniturePanel,Interfacer,Feature Envy,The tool detected a instance of this smell because changedUpdate is more interested in members of the type: HomeFurnitureController
