Class,Role Stereotype,Design Smell,Cause of the Smell
com.eteks.sweethome3d.io.Base64,Service Provider,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: OutputStream; Base64
com.eteks.sweethome3d.io.ContentDigestManager,Controller,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: ResourceURLContent; URLContent; SimpleURLContent; HomeURLContent in method getContentDigest
com.eteks.sweethome3d.io.ContentDigestManager,Controller,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: ResourceURLContent; URLContent; SimpleURLContent; HomeURLContent in method getContentDigest
com.eteks.sweethome3d.io.ContentRecording,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.io.DamagedHomeIOException,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.io.DefaultFurnitureCatalog,Structurer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: keyPrefix; PLUGIN_FURNITURE_CATALOG_FAMILY; CONTRIBUTED_FURNITURE_CATALOG_FAMILY; ADDITIONAL_FURNITURE_CATALOG_FAMILY; libraries; pluginFurnitureCatalogUrlUpdates
com.eteks.sweethome3d.io.DefaultFurnitureCatalog,Structurer,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): FurnitureCatalog
com.eteks.sweethome3d.io.DefaultFurnitureCatalog$PropertyKey,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: keyPrefix"
com.eteks.sweethome3d.io.DefaultHomeOutputStream,Service Provider,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: ResourceURLContent; URLContent; SimpleURLContent; HomeURLContent in method writeHome
com.eteks.sweethome3d.io.DefaultHomeOutputStream,Service Provider,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: ResourceURLContent; URLContent; SimpleURLContent; HomeURLContent in method writeHome
com.eteks.sweethome3d.io.DefaultHomeOutputStream,Service Provider,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: DefaultHomeOutputStream; HomeContentObjectsTracker; HomeObjectOutputStream
com.eteks.sweethome3d.io.DefaultHomeOutputStream$HomeContentObjectsTracker,Service Provider,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: TemporaryURLContent; HomeURLContent; Content; URLContent; ResourceURLContent; SimpleURLContent in method replaceObject
