Class,Role Stereotype,Design Smells
com.eteks.sweethome3d.model.Camera$Lens,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.model.Camera$Property,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.model.CatalogLight,Structurer,Unutilized Abstraction; Broken Hierarchy; 
com.eteks.sweethome3d.model.CatalogPieceOfFurniture,Information Holder,Cyclically-dependent Modularization; Insufficient Modularization; 
com.eteks.sweethome3d.model.CatalogTexture,Structurer,Cyclically-dependent Modularization; 
com.eteks.sweethome3d.model.CollectionEvent$Type,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.model.Compass,Service Provider,Insufficient Modularization; 
com.eteks.sweethome3d.model.Compass$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.model.DamagedHomeRecorderException,Information Holder,Broken Hierarchy; 
com.eteks.sweethome3d.model.DimensionLine,Information Holder,Insufficient Modularization; 
com.eteks.sweethome3d.model.DimensionLine$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.model.DoorOrWindow,Information Holder,Rebellious Hierarchy; 
com.eteks.sweethome3d.model.Home,Structurer,Deficient Encapsulation; Unexploited Encapsulation; Missing Hierarchy; Insufficient Modularization; Hub-like Modularization; 
com.eteks.sweethome3d.model.Home$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.model.HomeEnvironment,Information Holder,Insufficient Modularization; 
com.eteks.sweethome3d.model.HomeEnvironment$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.model.HomeEnvironment$DrawingMode,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.model.HomeFurnitureGroup,Structurer,Cyclically-dependent Modularization; Insufficient Modularization; 
com.eteks.sweethome3d.model.HomeLight$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.model.HomePieceOfFurniture,Structurer,Unexploited Encapsulation; Missing Hierarchy; Insufficient Modularization; 
com.eteks.sweethome3d.model.HomePieceOfFurniture$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.model.HomePieceOfFurniture$SortableProperty,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.model.HomePrint$PaperOrientation,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.model.HomeRecorder$Type,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.model.HomeTexture,Information Holder,Unexploited Encapsulation; Missing Hierarchy; 
com.eteks.sweethome3d.model.IllegalHomonymException,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.model.InterruptedRecorderException,Service Provider,Unutilized Abstraction; Broken Hierarchy; 
com.eteks.sweethome3d.model.Label,Information Holder,Insufficient Modularization; 
com.eteks.sweethome3d.model.Label$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.model.LengthUnit,Coordinator,Broken Modularization; 
