Class,Role Stereotype,Design Smells
com.eteks.sweethome3d.viewcontroller.BaseboardChoiceController$BaseboardPaint,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.viewcontroller.CompassController,Controller,Insufficient Modularization; 
com.eteks.sweethome3d.viewcontroller.CompassController$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.ContentManager$ContentType,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.viewcontroller.Controller,Service Provider,Wide Hierarchy; 
com.eteks.sweethome3d.viewcontroller.DialogView,Service Provider,Broken Hierarchy; Wide Hierarchy; 
com.eteks.sweethome3d.viewcontroller.ExportableView,Service Provider,Deficient Encapsulation; Broken Hierarchy; 
com.eteks.sweethome3d.viewcontroller.ExportableView$FormatType,Information Holder,Deficient Encapsulation; 
com.eteks.sweethome3d.viewcontroller.FurnitureCatalogController$FurnitureCatalogChangeListener,Coordinator,Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.FurnitureCatalogController$FurnitureCatalogViewChangeListener,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.FurnitureController,Controller,Feature Envy; Unexploited Encapsulation; Missing Hierarchy; Insufficient Modularization; 
com.eteks.sweethome3d.viewcontroller.HelpController$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.HelpController$LanguageChangeListener,Coordinator,Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.HelpController$HelpDocument$HelpReader,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.HelpView,Service Provider,Broken Hierarchy; 
com.eteks.sweethome3d.viewcontroller.Home3DAttributesController,Controller,Insufficient Modularization; 
com.eteks.sweethome3d.viewcontroller.Home3DAttributesController$Property,Service Provider,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.Home3DAttributesController$EnvironmentPaint,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.viewcontroller.HomeController,Controller,Feature Envy; Unexploited Encapsulation; Missing Hierarchy; Insufficient Modularization; Hub-like Modularization; 
com.eteks.sweethome3d.viewcontroller.HomeController$FurnitureCatalogChangeListener,Service Provider,Unutilized Abstraction; Broken Hierarchy; 
com.eteks.sweethome3d.viewcontroller.HomeController$TexturesCatalogChangeListener,Service Provider,Unutilized Abstraction; Broken Hierarchy; 
com.eteks.sweethome3d.viewcontroller.HomeController$UserPreferencesPropertiesChangeListener,Service Provider,Broken Hierarchy; 
com.eteks.sweethome3d.viewcontroller.HomeController$LanguageChangeListener,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.HomeController$Update,Information Holder,Insufficient Modularization; 
com.eteks.sweethome3d.viewcontroller.HomeController3D,Coordinator,Feature Envy; Insufficient Modularization; 
com.eteks.sweethome3d.viewcontroller.HomeController3D$TopCameraState,Controller,Unexploited Encapsulation; Missing Hierarchy; 
com.eteks.sweethome3d.viewcontroller.HomeController3D$UserPreferencesChangeListener,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.HomeFurnitureController,Controller,Unexploited Encapsulation; Missing Hierarchy; Insufficient Modularization; 
com.eteks.sweethome3d.viewcontroller.HomeFurnitureController$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.HomeFurnitureController$FurniturePaint,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.viewcontroller.HomeFurnitureController$FurnitureShininess,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.viewcontroller.HomeFurnitureController$FurnitureHorizontalAxis,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.viewcontroller.HomeView,Interfacer,Broken Hierarchy; Insufficient Modularization; 
com.eteks.sweethome3d.viewcontroller.HomeView$ActionType,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.viewcontroller.HomeView$SaveAnswer,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.viewcontroller.HomeView$OpenDamagedHomeAnswer,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.viewcontroller.ImportedFurnitureWizardController,Controller,Broken Hierarchy; Multipath Hierarchy; Insufficient Modularization; 
com.eteks.sweethome3d.viewcontroller.ImportedFurnitureWizardController$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.ImportedFurnitureWizardController$Step,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.ImportedFurnitureWizardStepsView,Service Provider,Broken Hierarchy; 
com.eteks.sweethome3d.viewcontroller.ImportedTextureWizardController,Controller,Broken Hierarchy; Multipath Hierarchy; Insufficient Modularization; 
com.eteks.sweethome3d.viewcontroller.ImportedTextureWizardController$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.ImportedTextureWizardController$Step,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.LabelController,Controller,Insufficient Modularization; 
com.eteks.sweethome3d.viewcontroller.LabelController$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.LevelController,Controller,Insufficient Modularization; 
com.eteks.sweethome3d.viewcontroller.LevelController$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.ObserverCameraController,Controller,Insufficient Modularization; 
com.eteks.sweethome3d.viewcontroller.ObserverCameraController$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.PhotoController$HomeCameraChangeListener,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.PhotosController$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.PhotosController$HomeStoredCamerasChangeListener,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.PlanController,Controller,Feature Envy; Deficient Encapsulation; Unexploited Encapsulation; Missing Hierarchy; Multipath Hierarchy; Insufficient Modularization; 
com.eteks.sweethome3d.viewcontroller.PlanController$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.PlanController$Mode,Information Holder,Deficient Encapsulation; 
com.eteks.sweethome3d.viewcontroller.PlanController$EditableProperty,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.viewcontroller.PlanController$ResizedPieceOfFurniture,Information Holder,Unexploited Encapsulation; Missing Hierarchy; 
com.eteks.sweethome3d.viewcontroller.PlanController$WallPointWithAngleMagnetism,Service Provider,Broken Hierarchy; 
com.eteks.sweethome3d.viewcontroller.PlanController$RoomPointWithAngleMagnetism,Service Provider,Broken Hierarchy; 
com.eteks.sweethome3d.viewcontroller.PlanController$ControllerState,Information Holder,Wide Hierarchy; 
com.eteks.sweethome3d.viewcontroller.PlanController$SelectionState,Service Provider,Unexploited Encapsulation; Broken Hierarchy; Missing Hierarchy; 
com.eteks.sweethome3d.viewcontroller.PlanController$SelectionMoveState,Information Holder,Unexploited Encapsulation; Missing Hierarchy; 
com.eteks.sweethome3d.viewcontroller.PlanController$RectangleSelectionState,Controller,Unexploited Encapsulation; Missing Hierarchy; 
com.eteks.sweethome3d.viewcontroller.PlanController$WallCreationState,Information Holder,Broken Hierarchy; 
com.eteks.sweethome3d.viewcontroller.PlanController$WallDrawingState,Information Holder,Rebellious Hierarchy; 
com.eteks.sweethome3d.viewcontroller.PlanController$DimensionLineCreationState,Information Holder,Broken Hierarchy; 
com.eteks.sweethome3d.viewcontroller.PlanController$DimensionLineDrawingState,Information Holder,Rebellious Hierarchy; 
com.eteks.sweethome3d.viewcontroller.PlanController$RoomCreationState,Information Holder,Broken Hierarchy; 
com.eteks.sweethome3d.viewcontroller.PlanController$RoomDrawingState,Information Holder,Rebellious Hierarchy; 
com.eteks.sweethome3d.viewcontroller.PlanController$PolylineCreationState,Information Holder,Broken Hierarchy; 
com.eteks.sweethome3d.viewcontroller.PlanController$PolylineDrawingState,Information Holder,Rebellious Hierarchy; 
com.eteks.sweethome3d.viewcontroller.PlanController$LabelCreationState,Service Provider,Broken Hierarchy; 
com.eteks.sweethome3d.viewcontroller.PlanView,Service Provider,Broken Hierarchy; Insufficient Modularization; 
com.eteks.sweethome3d.viewcontroller.PlanView$CursorType,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.viewcontroller.PolylineController,Controller,Insufficient Modularization; 
com.eteks.sweethome3d.viewcontroller.PolylineController$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.RoomController,Coordinator,Insufficient Modularization; 
com.eteks.sweethome3d.viewcontroller.RoomController$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.RoomController$RoomPaint,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.viewcontroller.RoomController$WallSide,Information Holder,Deficient Encapsulation; 
com.eteks.sweethome3d.viewcontroller.TextureChoiceController$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.TextureChoiceView,Service Provider,Broken Hierarchy; 
com.eteks.sweethome3d.viewcontroller.ThreadedTaskView,Service Provider,Broken Hierarchy; 
com.eteks.sweethome3d.viewcontroller.TransferableView,Service Provider,Deficient Encapsulation; Broken Hierarchy; 
com.eteks.sweethome3d.viewcontroller.TransferableView$DataType,Information Holder,Deficient Encapsulation; 
com.eteks.sweethome3d.viewcontroller.UserPreferencesController,Coordinator,Insufficient Modularization; 
com.eteks.sweethome3d.viewcontroller.UserPreferencesController$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.VideoController,Controller,Insufficient Modularization; 
com.eteks.sweethome3d.viewcontroller.VideoController$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.VideoController$HomeEnvironmentChangeListener,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.View,Interfacer,Wide Hierarchy; 
com.eteks.sweethome3d.viewcontroller.ViewFactory,Service Provider,Insufficient Modularization; Hub-like Modularization; 
com.eteks.sweethome3d.viewcontroller.ViewFactoryAdapter,Service Provider,Insufficient Modularization; 
com.eteks.sweethome3d.viewcontroller.WallController,Controller,Insufficient Modularization; 
com.eteks.sweethome3d.viewcontroller.WallController$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.WallController$WallShape,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.viewcontroller.WallController$WallPaint,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.viewcontroller.WallController$ModifiedWall,Information Holder,Unutilized Abstraction; Insufficient Modularization; 
com.eteks.sweethome3d.viewcontroller.WizardController$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.WizardController$WizardControllerStepState$Property,#N/A,Unnecessary Abstraction; Unutilized Abstraction; 
