,file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,label,project
14019,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/jobs/SmsReceiveJob.java,org.thoughtcrime.securesms.jobs.SmsReceiveJob$NotReadyException,innerclass,0,0,0,0,0,4,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,Service Provider,Signal-Android-4.60.5
14020,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/stickers/StickerKeyboardRepository.java,org.thoughtcrime.securesms.stickers.StickerKeyboardRepository$Callback,interface,1,1,0,1,1,1,0,0,0,0.0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,Coordinator,Signal-Android-4.60.5
14021,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/ApplicationPreferencesActivity.java,org.thoughtcrime.securesms.ApplicationPreferencesActivity,class,15,17,2,15,13,4,0,24,13,0.948718,0.06666667,0.06666667,6,0,3,0,3,0,6,0,0,0,13,11,0,13,0,0,13,0,0,168,1,0,3,0,0,12,1,17,0,17,1,0,1,0,67,1,0,Interfacer,Signal-Android-4.60.5
14022,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/profiles/SystemProfileUtil.java,org.thoughtcrime.securesms.profiles.SystemProfileUtil$Anonymous1,anonymous,3,3,0,3,7,1,0,11,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,25,2,1,1,2,0,0,0,3,0,3,4,0,0,0,19,-1,0,Service Provider,Signal-Android-4.60.5
14023,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/migrations/RegistrationPinV2MigrationJob.java,org.thoughtcrime.securesms.migrations.RegistrationPinV2MigrationJob$Factory,innerclass,5,5,0,5,1,1,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,Service Provider,Signal-Android-4.60.5
14024,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/profiles/SystemProfileUtil.java,org.thoughtcrime.securesms.profiles.SystemProfileUtil$Anonymous2,anonymous,3,3,0,3,9,1,0,14,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,32,1,1,2,1,0,3,1,7,0,4,4,0,0,0,20,-1,0,Service Provider,Signal-Android-4.60.5
14025,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/components/registration/VerificationCodeView.java,org.thoughtcrime.securesms.components.registration.VerificationCodeView$OnCodeEnteredListener,interface,1,1,0,1,1,1,0,0,0,0.0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,Interfacer,Signal-Android-4.60.5
14026,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/database/loaders/GroupedThreadMediaLoader.java,org.thoughtcrime.securesms.database.loaders.GroupedThreadMediaLoader$PopulatedGroupedThreadMedia,innerclass,5,5,0,5,7,2,0,7,0,0.33333334,1.0,1.0,6,0,4,2,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,28,4,0,1,0,0,0,0,5,0,4,1,0,0,0,22,10,0,Service Provider,Signal-Android-4.60.5
14027,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/database/MmsDatabase.java,org.thoughtcrime.securesms.database.MmsDatabase$Reader,innerclass,25,25,0,25,28,1,0,38,3,0.3,1.0,1.0,10,0,4,6,0,0,4,0,0,0,1,0,0,1,0,0,1,0,4,129,13,0,7,2,0,0,8,64,0,62,2,0,0,2,91,1,0,Interfacer,Signal-Android-4.60.5
14028,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/net/CompositeRequestController.java,org.thoughtcrime.securesms.net.CompositeRequestController,class,2,4,2,2,4,1,0,4,0,0.16666667,1.0,1.0,3,0,3,0,0,0,3,0,0,3,2,0,0,2,0,0,1,0,0,19,1,0,0,0,0,0,0,3,0,2,1,0,0,0,12,1,0,Service Provider,Signal-Android-4.60.5
14029,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/blurhash/BlurHash.java,org.thoughtcrime.securesms.blurhash.BlurHash,class,4,9,5,4,9,1,0,4,0,0.0,1.0,1.0,5,1,4,1,0,0,4,0,0,0,1,0,0,1,0,0,1,0,3,24,7,0,3,0,0,0,0,2,0,2,1,0,0,0,32,1,0,Service Provider,Signal-Android-4.60.5
14030,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/usernames/username/UsernameEditFragment.java,org.thoughtcrime.securesms.usernames.username.UsernameEditFragment$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,Interfacer,Signal-Android-4.60.5
14031,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/profiles/edit/EditProfileFragment.java,org.thoughtcrime.securesms.profiles.edit.EditProfileFragment,class,34,35,1,34,47,2,0,121,80,0.88055545,0.10714286,0.10714286,20,3,8,12,0,0,8,0,0,0,18,4,0,18,0,0,4,0,1,260,6,0,14,1,0,5,17,40,5,51,3,1,1,15,158,1,0,Interfacer,Signal-Android-4.60.5
14032,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/preferences/StoragePreferenceFragment.java,org.thoughtcrime.securesms.preferences.StoragePreferenceFragment$TrimLengthValidationListener,innerclass,4,4,0,4,6,1,0,10,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,24,4,0,2,1,1,0,2,2,0,2,1,0,0,0,24,2,0,Interfacer,Signal-Android-4.60.5
14033,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/conversation/ConversationFragment.java,org.thoughtcrime.securesms.conversation.ConversationFragment$ConversationDateHeader$Anonymous8,anonymous,0,0,0,0,2,1,0,1,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,-1,0,Interfacer,Signal-Android-4.60.5
14034,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/conversation/ConversationStickerSuggestionAdapter.java,org.thoughtcrime.securesms.conversation.ConversationStickerSuggestionAdapter,class,8,8,0,8,6,2,0,10,3,0.5555556,0.4,0.4,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,3,0,0,47,2,0,0,0,0,0,0,3,0,3,0,0,2,0,29,1,0,Service Provider,Signal-Android-4.60.5
14035,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/preferences/StoragePreferenceFragment.java,org.thoughtcrime.securesms.preferences.StoragePreferenceFragment,class,14,15,1,14,4,4,0,20,6,1.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,2,57,0,0,0,0,1,1,0,6,0,6,0,0,2,1,41,1,0,Interfacer,Signal-Android-4.60.5
